product_id,review_count,title,main_category,average_rating_meta,rating_number_meta,price,description_text,has_image,raw_images
B075X8471B,150835,"Fire TV Stick with Alexa Voice Remote, streaming media player - Previous Generation",Amazon Devices,4.5,315583,,,True,"[{'thumb': 'https://m.media-amazon.com/images/I/51JuZsJ5yGL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51JuZsJ5yGL._AC_.jpg', 'variant': 'LEFT', 'hi_res': 'https://m.media-amazon.com/images/I/61T9QpYb6ZL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31CO38sRgDL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31CO38sRgDL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/51Z5kuP3l+L._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/514Oe2AOwjL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/514Oe2AOwjL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/71wGIwN3RnL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41dtQL+VVqL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41dtQL+VVqL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/61jDZkTRX7L._AC_SL1000_.jpg'}]"
B07GZFM1ZM,122146,Fire TV Stick 4K streaming device with Alexa Voice Remote (includes TV controls) | Dolby Vision,Amazon Devices,4.7,819630,,,True,"[{'thumb': 'https://m.media-amazon.com/images/I/41-hUFPN2dL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41-hUFPN2dL._AC_.jpg', 'variant': 'LEFT', 'hi_res': 'https://m.media-amazon.com/images/I/61mAA2BB-FL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31gFK-y4+ZL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31gFK-y4+ZL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/51CgKGfMelL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41cdmWcejjS._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41cdmWcejjS._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/51tc0jC39ES._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/61OAIRbQPqL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/61OAIRbQPqL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/71pEQxZw8uL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51yN5jBGvOL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51yN5jBGvOL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/61lYfQGfuUL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/412WcSM4jyS._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/412WcSM4jyS._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/51VDVJ4CoqS._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51wkSiEAHAS._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51wkSiEAHAS._AC_.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/61WuTXd0ZES._AC_SL1000_.jpg'}]"
B01K8B8YA8,106518,Echo Dot (2nd Generation) - Smart speaker with Alexa - White,Amazon Devices,4.5,233715,39.99,,True,"[{'thumb': 'https://m.media-amazon.com/images/I/4162wAg-X8L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/4162wAg-X8L._AC_.jpg', 'variant': 'LEFT', 'hi_res': 'https://m.media-amazon.com/images/I/61yTrQp4LzL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41pH1YS3UML._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41pH1YS3UML._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61wUAUVhrZL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51wft6OJojL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51wft6OJojL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/61RrCPRq7mL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51zYU2OcjGL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51zYU2OcjGL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/71WJE9YHjaL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51c1KT8w9RL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51c1KT8w9RL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/61TJXt9UdGL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51atrx6d3-L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51atrx6d3-L._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/71-oquug6dL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51lSOLFhzoL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51lSOLFhzoL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/61vC51VkaCL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51lSOLFhzoL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51lSOLFhzoL._AC_.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/61vC51VkaCL._AC_SL1000_.jpg'}]"
B010BWYDYA,95309,"Fire Tablet with Alexa, 7"" Display, 16 GB, Blue - with Special Offers (Previous Generation - 5th)",Amazon Devices,4.2,133589,,,True,"[{'thumb': 'https://m.media-amazon.com/images/I/515dMUkeoYL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/515dMUkeoYL._AC_.jpg', 'variant': 'LEFT', 'hi_res': 'https://m.media-amazon.com/images/I/61eY5-dS+kL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51hm-VMUIlL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51hm-VMUIlL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/610Qag9AQiL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/510UYogzf+L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/510UYogzf+L._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/71D8mErwKdL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/510CXaG2lYL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/510CXaG2lYL._AC_.jpg', 'variant': 'PT02', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/51MBmtp7FYL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51MBmtp7FYL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/71JIk-VyJQL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/610ydWSxYkL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/610ydWSxYkL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/71QoBFNVhCL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51Qi-awxX-L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51Qi-awxX-L._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/61GSDW1RzIL._AC_SL1000_.jpg'}]"
B07H65KP63,82420,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",Amazon Devices,4.7,1034896,,,True,"[{'thumb': 'https://m.media-amazon.com/images/I/515EDfBsGvL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/515EDfBsGvL._AC_.jpg', 'variant': 'LEFT', 'hi_res': 'https://m.media-amazon.com/images/I/61MZfowYoaL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41CRnvYqmqL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41CRnvYqmqL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/6182S7MYC2L._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41evY-7YkBL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41evY-7YkBL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/61QYCC1rbsL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51Ya5fxJjiL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51Ya5fxJjiL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/61LipgQ484L._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41IQM7vbryL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41IQM7vbryL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/611bo-rHzVL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51W8fm5ZTrL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51W8fm5ZTrL._AC_.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/61zn+wIpZPL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51MpRsiaLeL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51MpRsiaLeL._AC_.jpg', 'variant': 'PT10', 'hi_res': None}]"
B0791TX5P5,76572,"Fire TV Stick streaming device with Alexa built in, includes Alexa Voice Remote, HD, latest release",Amazon Devices,4.7,474536,,,True,"[{'thumb': 'https://m.media-amazon.com/images/I/41IQnJYqDZL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41IQnJYqDZL._AC_.jpg', 'variant': 'LEFT', 'hi_res': 'https://m.media-amazon.com/images/I/61WzGTJKl+L._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41SR4yCI7aL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41SR4yCI7aL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/51ZdmnHKukL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51LyhkfxFML._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51LyhkfxFML._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/71jVSou2rKL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41W8n6NHeoL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41W8n6NHeoL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/514Y50vSzCL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41xPQrk4kcL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41xPQrk4kcL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/51C5Z-2H+OL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51t-elvCu+L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51t-elvCu+L._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/61OXrd+lnJL._AC_SL1000_.jpg'}]"
B08XPWDSWW,69717,TOZO T10 Bluetooth 5.3 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport White (2022 Upgraded),Home Audio & Theater,4.3,349254,21.99,,True,"[{'thumb': 'https://m.media-amazon.com/images/I/41fBo0aKiIL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41fBo0aKiIL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61vXJCvt-1L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41FuZ8+Q+gL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41FuZ8+Q+gL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/614pakNdlfL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41pHET-dFAL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41pHET-dFAL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/61ZFV+HLmiL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41HvwaRrgNL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41HvwaRrgNL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/61P+IsBvK8L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/516mvp0PUvL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/516mvp0PUvL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/71DLd6lPX0L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41F+og5zHRL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41F+og5zHRL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/61ncc2+Nq0L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51QpALxmUBL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51QpALxmUBL._AC_.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/71gtNcd1ojL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51AjBm8DtYL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51AjBm8DtYL._AC_.jpg', 'variant': 'PT07', 'hi_res': 'https://m.media-amazon.com/images/I/71rM+5BOZRL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41CRrhCT8UL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41CRrhCT8UL._AC_.jpg', 'variant': 'PT08', 'hi_res': 'https://m.media-amazon.com/images/I/61CmGJRMlUL._AC_SL1500_.jpg'}]"
B07S764D9V,52436,"Panasonic ErgoFit Wired Earbuds, In-Ear Headphones with Microphone and Call Controller, Ergonomic Custom-Fit Earpieces (S/M/L), 3.5mm Jack for Phones and Laptops - RP-TCM125-A (Blue)",Home Audio & Theater,4.3,136251,13.99,"The Panasonic RP-TCM125 ErgoFit Earbud Headphones with Microphone and Call Controller are the perfect combination of style, comfort, functionality and most of all, high-quality sound. The In-line microphone on the cord of earbud headphones is used for answering calls or voice commands; Compatible with iPhone, Android and Blackberry. Earbuds with three sets of earpads (S/M/L included), provide a custom, comfortable ergonomic fit that won’t slip out. Choose from eleven (11) vivid color options with color-matching earbuds, headphone cord and call controller to best complement your personal style and mood. Large 9mm drivers with neodymium magnets along with a wide frequency response and smart ergonomic fit earbuds deliver dynamic, crystal-clear sound while helping to keep out unwanted outside noise. Stereo headset tonally balanced audio with crisp highs and deep low notes, plus wider frequency response and lively sound quality for recorded audio. Long, 3. 6-ft headphone cord threads comfortably through clothing and bags making it easy to connect. DID YOU KNOW? You can use your headphones as a microphone! A microphone is the same as a speaker. The diaphragm of the driver of the headphones is moved by the molecules of air that make up a soundwave. This driver is attached to a coil of wire (voice coil) which rests between a magnets. DISCLAIMER: iPhone is a Trademark of Apple, registered in the US and other countries. The Trademark BlackBerry is owned by Research In Motion Limited and is registered in the United States and may be pending or registered in other countries. Panasonic is not endorsed, sponsored, affiliated with or otherwise authorized by Research In Motion Limited. Android is a trademark of Google requires lightning plug adaptor for iPhone 7 and later models (not included).",True,"[{'thumb': 'https://m.media-amazon.com/images/I/41mcJ3vWMNL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41mcJ3vWMNL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/51IjAqbVBrL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41rA01xgPQL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41rA01xgPQL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/617Sw3BPpGL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/310qbUOYZGL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/310qbUOYZGL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/51C67UJOiUL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51blO-V+2PL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51blO-V+2PL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/81m67lWOa-L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51mjgezRkvL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51mjgezRkvL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/71O6Ca3hZ7L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41kwFpJojpL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41kwFpJojpL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/71nFGaqLohL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51YT-ABq9lL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51YT-ABq9lL._AC_.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/71S1zUcq5yL._AC_SL1500_.jpg'}]"
B0BW4PFM58,48553,"OontZ Angle 3 Bluetooth Speaker, Portable Wireless Bluetooth 5.0 Speaker, 10 Watts, Crystal Clear Stereo Sound, Rich Bass, IPX5 Water Resistant, Loud Portable Bluetooth Speaker (Black)",All Electronics,4.5,190291,24.99,,True,"[{'thumb': 'https://m.media-amazon.com/images/I/41feNmZQBhL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41feNmZQBhL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71MaEpiMNGL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/516ZAtfKVUL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/516ZAtfKVUL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/81KYHY+5A9L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51h-RzSMYZL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51h-RzSMYZL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/81AjJYdwliL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51WZlr1pT6L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51WZlr1pT6L._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/81-950QQn8L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51ovIWod5UL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51ovIWod5UL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/81YK2tVB0NL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51w2jRT45FL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51w2jRT45FL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/91DV0ztGDFL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41aBGs8sFKL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41aBGs8sFKL._AC_.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/71W+keLlNIL._AC_SL1500_.jpg'}]"
B07KTYJ769,46892,"Amazon Smart Plug, for home automation, Works with Alexa - A Certified for Humans Device",Amazon Devices,4.7,542825,24.99,,True,"[{'thumb': 'https://m.media-amazon.com/images/I/41WwuW3XH2L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41WwuW3XH2L._AC_.jpg', 'variant': 'LEFT', 'hi_res': 'https://m.media-amazon.com/images/I/51dm2WQLMwL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/21Mcpu+FwAL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/21Mcpu+FwAL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/41couS+UODL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/518rvNU9McL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/518rvNU9McL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/81orQAixDVL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/5171Z+SDl7L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/5171Z+SDl7L._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/71Kmy3MEbrL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41Ab4xbYKIL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41Ab4xbYKIL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/618Ik-IrmmL._AC_SL1000_.jpg'}]"
